Country,Shipments,Average_Delay,On_Time_Rate,Average_Freight_Cost
South Africa,1406,-12.224039829302987,91.8207681365576,8628.329757785466
Nigeria,1194,-11.224455611390285,88.107202680067,18676.11307591623
Côte d'Ivoire,1083,-5.3804247460757155,87.6269621421976,8356.879986282578
Uganda,779,-7.581514762516046,87.41976893453145,9723.922411347517
Vietnam,688,-0.3502906976744186,99.12790697674419,6137.39302690583
Zambia,683,-5.234260614934114,84.1874084919473,12205.874680851064
Haiti,655,-2.427480916030534,90.53435114503817,10102.270025252526
Mozambique,631,-1.2091917591125199,81.61648177496038,9024.989205479453
Zimbabwe,538,-11.007434944237918,85.68773234200744,13536.052852664578
Tanzania,519,-4.394990366088632,87.28323699421965,11718.42067961165
Rwanda,430,-5.293023255813954,91.3953488372093,16838.552085714287
"Congo, DRC",333,11.24024024024024,75.07507507507508,6721.951057692308
Guyana,237,-17.82278481012658,89.87341772151899,3186.095870967742
Ethiopia,216,-3.1944444444444446,94.44444444444444,11658.745964912281
South Sudan,164,-1.0670731707317074,87.1951219512195,4234.216271186441
Kenya,111,0.8918918918918919,87.38738738738738,15703.424615384614
Burundi,98,-8.448979591836734,61.224489795918366,5572.184285714286
Namibia,95,-0.631578947368421,98.94736842105263,5747.992125
Cameroon,75,-1.2,90.66666666666666,32006.276607142856
Botswana,70,-2.557142857142857,97.14285714285714,2224.6801612903228
