Country,Shipments,Average_Delay,On_Time_Rate,Average_Freight_Cost,Average_Cost_per_Unit
South Africa,1406,-12.224039829302987,91.8207681365576,8628.329757785466,17.29640275099076
Nigeria,1194,-11.224455611390285,88.107202680067,18676.11307591623,21.457889118629243
Côte d'Ivoire,1083,-5.3804247460757155,87.6269621421976,8356.879986282578,21.1286742807623
Uganda,779,-7.581514762516046,87.41976893453145,9723.922411347517,20.10793832832346
Vietnam,688,-0.3502906976744186,99.12790697674419,6137.39302690583,17.389215116279072
Zambia,683,-5.234260614934114,84.1874084919473,12205.874680851064,17.40800878477306
Haiti,655,-2.427480916030534,90.53435114503817,10102.270025252526,29.803511450381677
Mozambique,631,-1.2091917591125199,81.61648177496038,9024.989205479453,22.333449454778304
Zimbabwe,538,-11.007434944237918,85.68773234200744,13536.052852664578,12.199927669674745
Tanzania,519,-4.394990366088632,87.28323699421965,11718.42067961165,21.286569533662203
Rwanda,430,-5.293023255813954,91.3953488372093,16838.552085714287,17.963451042849975
"Congo, DRC",333,11.24024024024024,75.07507507507508,6721.951057692308,18.115345345345347
Guyana,237,-17.82278481012658,89.87341772151899,3186.095870967742,23.879113924050635
Ethiopia,216,-3.1944444444444446,94.44444444444444,11658.745964912281,17.35840821575544
South Sudan,164,-1.0670731707317074,87.1951219512195,4234.216271186441,26.83371951219512
Kenya,111,0.8918918918918919,87.38738738738738,15703.424615384614,57.19945945945946
Burundi,98,-8.448979591836734,61.224489795918366,5572.184285714286,20.936836734693877
Namibia,95,-0.631578947368421,98.94736842105263,5747.992125,39.76252631578947
Cameroon,75,-1.2,90.66666666666666,32006.276607142856,51.52826666666667
Botswana,70,-2.557142857142857,97.14285714285714,2224.6801612903228,100.75057142857143
Ghana,58,-0.22413793103448276,86.20689655172413,13162.594761904762,4.680689655172414
Dominican Republic,52,-10.615384615384615,92.3076923076923,8780.877857142857,36.404423076923074
Sudan,46,-0.5217391304347826,100.0,1493.3327906976745,40.90869565217391
Swaziland,35,-5.0,91.42857142857143,7995.490400000001,25.716857142857144
Mali,17,0.0,100.0,2305.3250000000003,101.76470588235294
Guatemala,15,-1.0,86.66666666666667,7698.995999999999,61.680233211752785
Pakistan,15,0.0,100.0,13298.47625,54.13333333333333
Malawi,14,0.0,100.0,7172.866428571428,43.28285714285715
Benin,13,2.3846153846153846,76.92307692307693,9430.738571428572,14.421538461538463
Libya,8,-8.75,87.5,2090.2925,9.21625
Lebanon,8,0.0,100.0,,0.01
Angola,7,0.0,100.0,4685.242857142856,38.50857142857143
Liberia,6,0.0,100.0,3325.1416666666664,44.0
Lesotho,4,0.0,100.0,5825.705,203.0
Sierra Leone,4,0.0,100.0,18249.265,41.125
Senegal,3,1.0,66.66666666666666,722.315,35.21333333333333
Togo,3,5.333333333333333,66.66666666666666,6272.36,8.68
Afghanistan,3,0.0,100.0,540.525,37.18333333333333
Kyrgyzstan,2,0.0,100.0,,79.0
Kazakhstan,2,0.0,100.0,,350.0
Burkina Faso,2,0.0,100.0,,4.425
Guinea,1,0.0,100.0,1804.2,72.0
Belize,1,-14.0,100.0,1959.61,2.1
