Vendor,Shipments,Average_Delay,On_Time_Rate,Average_Freight_Cost
SCMS from RDC,5404,-8.284048852701703,82.8460399703923,10875.045354134165
"Orgenics, Ltd",754,0.8381962864721485,87.0026525198939,16336.423621262458
S. BUYS WHOLESALER,715,-28.678321678321677,98.46153846153847,2962.3333333333335
Aurobindo Pharma Limited,668,4.411676646706587,85.92814371257485,9842.173956262426
"Trinity Biotech, Plc",356,0.08426966292134831,99.71910112359551,8628.880483271376
ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),347,0.29394812680115273,98.84726224783861,6361.937133550488
PHARMACY DIRECT,326,0.0,100.0,
MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),317,-0.6151419558359621,99.36908517350159,13067.043933054394
HETERO LABS LIMITED,277,-0.20938628158844766,99.27797833935018,15005.737670454546
CIPLA LIMITED,175,4.777142857142858,86.85714285714286,12515.208079470198
"CHEMBIO DIAGNOSTIC SYSTEMS, INC.",109,-4.1192660550458715,99.08256880733946,6867.664466019418
"Standard Diagnostics, Inc.",98,0.25510204081632654,95.91836734693877,13890.74870967742
STRIDES ARCOLAB LIMITED,93,0.978494623655914,95.6989247311828,12595.951707317074
"SHANGHAI KEHUA BIOENGINEERING CO.,LTD.  (KHB)",70,1.0571428571428572,97.14285714285714,34056.47414285714
MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.),68,-1.1323529411764706,98.52941176470588,1424.2045652173913
BRISTOL-MYERS SQUIBB,67,0.0,100.0,1191.0732352941177
Orasure Technologies Inc.,56,0.5,98.21428571428571,4897.6975
EMCURE PHARMACEUTICALS LTD,41,1.3902439024390243,95.1219512195122,5739.386451612903
ASPEN PHARMACARE,41,0.8780487804878049,97.5609756097561,1890.44
"JSI R&T INSTITUTE, INC.",38,-15.210526315789474,97.36842105263158,
MICRO LABS LIMITED,35,0.0,100.0,8093.754166666667
BIO-RAD LABORATORIES (FRANCE),28,2.107142857142857,85.71428571428571,7252.7876
Hoffmann-La Roche ltd Basel,23,0.0,100.0,3431.3157142857144
Abbott GmbH & Co. KG,21,2.2857142857142856,95.23809523809523,4248.386
GLAXOSMITHKLINE EXPORT LIMITED,20,0.0,100.0,7979.334000000001
LAWRENCE LABORATORIES (SUBSIDIARY OF BRISTOL MYERS SQUIBB),18,0.0,100.0,3152.3814285714284
IDA FOUNDATION,17,-13.529411764705882,100.0,7691.908571428571
REINBOLD EXPORT IMPORT,12,-8.25,91.66666666666666,
Premier Medical Corporation Ltd.,12,-4.0,100.0,7978.700833333333
INTERNATIONAL HEALTHCARE DISTRIBUTORS,10,0.0,100.0,1100.2
SUN PHARMACEUTICAL INDUSTRIES LTD (RANBAXY LABORATORIES LIMITED),9,0.3333333333333333,88.88888888888889,11632.54625
AMSTELFARMA B.V.,7,0.0,100.0,4962.008
JANSSEN SCIENCES IRELAND UC (FORMERLY JANSSEN R&D IRELAND),7,0.0,100.0,788.0866666666667
IDIS LIMITED,6,0.0,100.0,180.0
BIOLYTICAL LABORATORIES INC.,5,0.0,100.0,3428.3033333333333
NOVARTIS PHARMA SERVICES AG,5,0.0,100.0,9427.716
ZEPHYR BIOMEDICALS,5,0.0,100.0,338.17333333333335
IMRES B.V.,4,0.0,100.0,4446.333333333333
"GILEAD SCIENCES IRELAND, INC.",4,0.0,100.0,7770.862499999999
"ABBVIE, SRL (FORMALLY ABBOTT LABORATORIES INTERNATIONAL CO.)",4,0.0,100.0,666.66
HUMAN GMBH,3,0.0,100.0,776.17
TURE PHARMACEUTICALS & MEDICAL SUPPLIES P.L.C.,3,0.0,100.0,
ACCOUN NIGERIA LIMITED,3,-41.0,100.0,
SWORDS LABORATORIES,3,0.0,100.0,831.5733333333333
MISSIONPHARMA A/S,3,0.0,100.0,10694.896666666666
RANBAXY Fine Chemicals LTD.,2,0.0,100.0,819.935
WAGENIA,2,0.0,100.0,
INVERNESS MEDICAL INNOVATIONS SOUTH AFRICA (PTY) LTD,2,0.0,100.0,963.34
INVERNESS MEDICAL INNOVATIONS HONG KONG LTD,2,0.0,100.0,20589.61
EY Laboratories,2,0.0,100.0,803.6
ETHNOR DEL ISTMO S.A.,2,0.0,100.0,240.0
"MSD LATIN AMERICA SERVICES, S. DE R.L. DE C.V.",2,0.0,100.0,
BUNDI INTERNATIONAL DIAGNOSTICS LTD,2,0.0,100.0,
B&C GROUP S.A.,2,0.0,100.0,600.29
OMEGA DIAGNOSTICS LTD,1,0.0,100.0,633.73
SUB-SAHARAN BIOMEDICAL P.L.C.,1,0.0,100.0,
"ACCESS BIO, INC.",1,0.0,100.0,5642.36
ACOUNS NIGERIA LTD,1,0.0,100.0,
ACTION MEDEOR E.V.,1,0.0,100.0,1731.89
THE MEDICAL EXPORT GROUP BV,1,0.0,100.0,37744.27
AHN (PTY) LTD (AKA UCB (S.A.),1,0.0,100.0,
SYSMEX AMERICA INC,1,0.0,100.0,4059.85
AUROBINDO PHARAM (SOUTH AFRICA),1,0.0,100.0,3908.56
SETEMA LIMITED PLC,1,0.0,100.0,
BIO-RAD LABORATORIES PTY LTD. (SOUTH AFRICA),1,0.0,100.0,
CENTRAL PHARMACEUTICAL COMPANY NO. 1,1,-26.0,100.0,1401.49
"RAININ INSTRUMENT, LLC.",1,0.0,100.0,
ABBOTT LOGISTICS B.V.,1,0.0,100.0,
"PUETRO RICO PHARMACEUTICAL, INC.",1,0.0,100.0,2748.16
PLURIPHARM S.A.,1,0.0,100.0,
KAS MEDICS LIMITED,1,0.0,100.0,
MEDMIRA EAST AFRICA LTD.,1,0.0,100.0,
ABBOTT LABORATORIES (PUERTO RICO),1,0.0,100.0,314.0
